Order ID,Order Date,Ship Date,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin,Month,Year,MonthName
ORD-100022,2017-05-19 18:12:53,2017-05-23 18:12:53,Customer 350,Corporate,United States,New York,MA,South,PROD-4740,Technology,Copiers,Copiers Model 450,198.16,7,0.1,36.81,0.1857589826402907,5,2017,May
ORD-100023,2014-02-08 17:06:09,2014-02-13 17:06:09,Customer 681,Corporate,United States,Seattle,WA,West,PROD-2627,Technology,Copiers,Copiers Model 432,222.18,2,0.0,39.95,0.1798091637411108,2,2014,Feb
ORD-100024,2017-06-25 08:07:27,2017-07-07 08:07:27,Customer 1488,Consumer,United States,Atlanta,MA,Central,PROD-2074,Office Supplies,Appliances,Appliances Model 133,236.97,6,0.05,42.34,0.17867240578976243,6,2017,Jun
ORD-100025,2017-03-12 06:44:11,2017-03-23 06:44:11,Customer 1399,Consumer,United States,Boston,TX,South,PROD-2028,Technology,Phones,Phones Model 136,288.16,9,0.0,29.03,0.10074264297612437,3,2017,Mar
ORD-100026,2017-09-11 20:35:32,2017-09-14 20:35:32,Customer 1116,Consumer,United States,Seattle,WA,Central,PROD-6303,Technology,Accessories,Accessories Model 409,317.49,8,0.05,52.44,0.16517055655296228,9,2017,Sep
ORD-100027,2017-03-25 16:47:28,2017-04-07 16:47:28,Customer 181,Consumer,United States,New York,IL,West,PROD-1902,Office Supplies,Storage,Storage Model 189,278.94,3,0.1,19.94,0.07148490714849072,3,2017,Mar
ORD-100028,2017-02-16 22:48:43,2017-02-25 22:48:43,Customer 743,Corporate,United States,Seattle,GA,South,PROD-6076,Furniture,Furnishings,Furnishings Model 303,65.88,7,0.05,-8.21,-0.12462052216150579,2,2017,Feb
ORD-100029,2016-06-08 23:18:17,2016-06-09 23:18:17,Customer 1325,Corporate,United States,San Francisco,IL,East,PROD-6562,Technology,Accessories,Accessories Model 494,304.75,4,0.0,-24.48,-0.08032813781788352,6,2016,Jun
ORD-100030,2017-05-15 15:34:45,2017-05-21 15:34:45,Customer 660,Consumer,United States,Chicago,MA,West,PROD-6252,Technology,Accessories,Accessories Model 172,181.01,4,0.0,4.15,0.022926910115463238,5,2017,May
ORD-100031,2014-12-18 06:26:04,2014-12-24 06:26:04,Customer 1213,Consumer,United States,Houston,NY,West,PROD-8228,Office Supplies,Paper,Paper Model 447,156.71,7,0.1,-35.14,-0.22423584965860505,12,2014,Dec
ORD-100032,2017-07-01 07:21:15,2017-07-11 07:21:15,Customer 1338,Consumer,United States,Houston,IL,East,PROD-6595,Furniture,Chairs,Chairs Model 223,341.32,7,0.0,98.68,0.2891128559709364,7,2017,Jul
ORD-100033,2017-02-20 10:32:56,2017-02-25 10:32:56,Customer 493,Corporate,United States,Los Angeles,NY,East,PROD-4991,Technology,Machines,Machines Model 384,452.79,1,0.0,-23.75,-0.05245257183241679,2,2017,Feb
ORD-100034,2015-05-12 01:34:40,2015-05-24 01:34:40,Customer 923,Corporate,United States,San Francisco,IL,West,PROD-7368,Office Supplies,Appliances,Appliances Model 423,295.09,1,0.15,-58.15,-0.1970585245179437,5,2015,May
ORD-100035,2017-05-16 13:19:22,2017-05-21 13:19:22,Customer 128,Corporate,United States,Chicago,IL,Central,PROD-4942,Technology,Machines,Machines Model 265,87.37,6,0.05,0.42,0.004807142039601694,5,2017,May
ORD-100036,2016-06-18 21:35:54,2016-06-28 21:35:54,Customer 1450,Consumer,United States,Los Angeles,GA,Central,PROD-3377,Technology,Machines,Machines Model 156,418.06,2,0.1,98.92,0.23661675357604173,6,2016,Jun
ORD-100037,2017-05-20 20:18:06,2017-06-03 20:18:06,Customer 565,Consumer,United States,Seattle,TX,Central,PROD-2271,Technology,Copiers,Copiers Model 413,591.46,3,0.0,10.97,0.018547323572177324,5,2017,May
ORD-100038,2015-12-22 11:51:05,2016-01-04 11:51:05,Customer 1211,Corporate,United States,Los Angeles,NY,West,PROD-1434,Technology,Computers,Computers Model 15,842.24,2,0.0,-46.76,-0.05551861702127659,12,2015,Dec
ORD-100039,2016-02-06 07:36:31,2016-02-11 07:36:31,Customer 550,Corporate,United States,Atlanta,NY,Central,PROD-4771,Furniture,Chairs,Chairs Model 26,135.62,2,0.0,13.52,0.0996903111635452,2,2016,Feb
ORD-100040,2015-06-26 13:49:15,2015-07-02 13:49:15,Customer 453,Consumer,United States,San Francisco,IL,West,PROD-3150,Technology,Computers,Computers Model 29,56.06,8,0.0,6.5,0.11594719942918301,6,2015,Jun
ORD-100041,2014-09-06 19:49:15,2014-09-14 19:49:15,Customer 471,Corporate,United States,Chicago,NY,West,PROD-6602,Furniture,Chairs,Chairs Model 57,727.79,8,0.0,158.33,0.21754901826076206,9,2014,Sep
ORD-100042,2017-01-29 00:58:55,2017-01-31 00:58:55,Customer 988,Consumer,United States,New York,IL,East,PROD-6167,Technology,Copiers,Copiers Model 367,242.61,6,0.0,58.19,0.23984996496434605,1,2017,Jan
ORD-100043,2015-11-29 00:06:38,2015-12-05 00:06:38,Customer 738,Corporate,United States,San Francisco,IL,Central,PROD-1546,Office Supplies,Paper,Paper Model 46,69.55,3,0.05,10.6,0.15240833932422718,11,2015,Nov
ORD-100044,2016-07-12 02:51:41,2016-07-13 02:51:41,Customer 224,Corporate,United States,Boston,MA,East,PROD-5422,Office Supplies,Binders,Binders Model 226,352.68,5,0.0,-69.66,-0.19751616195985028,7,2016,Jul
ORD-100045,2017-10-29 04:17:01,2017-11-02 04:17:01,Customer 154,Corporate,United States,Houston,WA,West,PROD-5824,Furniture,Chairs,Chairs Model 176,84.84,7,0.05,-19.37,-0.2283121169259783,10,2017,Oct
ORD-100046,2014-07-15 03:51:10,2014-07-29 03:51:10,Customer 560,Consumer,United States,Boston,NY,East,PROD-1218,Technology,Machines,Machines Model 126,144.73,5,0.0,48.86,0.3375941408139294,7,2014,Jul
ORD-100047,2017-05-09 15:54:37,2017-05-19 15:54:37,Customer 351,Consumer,United States,Los Angeles,GA,East,PROD-5180,Furniture,Chairs,Chairs Model 41,285.54,7,0.0,-15.62,-0.054703369055123616,5,2017,May
ORD-100048,2015-08-29 03:53:22,2015-09-01 03:53:22,Customer 1171,Corporate,United States,Dallas,CA,South,PROD-2942,Office Supplies,Storage,Storage Model 269,1266.28,7,0.0,-56.61,-0.04470575228227564,8,2015,Aug
ORD-100049,2015-01-06 22:30:03,2015-01-15 22:30:03,Customer 349,Corporate,United States,Atlanta,MA,South,PROD-2254,Technology,Accessories,Accessories Model 476,452.08,4,0.05,89.15,0.19719961068837377,1,2015,Jan
ORD-100050,2015-12-09 14:20:38,2015-12-12 14:20:38,Customer 182,Consumer,United States,Dallas,NY,West,PROD-9111,Technology,Phones,Phones Model 276,310.22,6,0.0,37.19,0.11988266391593061,12,2015,Dec
ORD-100051,2015-12-21 20:22:11,2015-12-27 20:22:11,Customer 637,Corporate,United States,San Francisco,GA,West,PROD-6353,Furniture,Bookcases,Bookcases Model 318,196.26,9,0.1,5.79,0.029501681442983797,12,2015,Dec
ORD-100052,2017-12-25 15:59:52,2017-12-26 15:59:52,Customer 1018,Consumer,United States,Dallas,NY,West,PROD-2371,Office Supplies,Labels,Labels Model 99,375.64,4,0.0,-51.07,-0.13595463741880526,12,2017,Dec
ORD-100053,2016-01-26 14:47:30,2016-02-07 14:47:30,Customer 179,Home Office,United States,Boston,TX,Central,PROD-1360,Furniture,Furnishings,Furnishings Model 425,561.41,1,0.0,-87.12,-0.1551807057230901,1,2016,Jan
ORD-100054,2016-03-15 19:54:12,2016-03-21 19:54:12,Customer 1063,Corporate,United States,New York,CA,West,PROD-9549,Technology,Copiers,Copiers Model 130,224.45,8,0.15,34.47,0.15357540654934285,3,2016,Mar
ORD-100055,2015-11-17 17:53:54,2015-11-21 17:53:54,Customer 772,Consumer,United States,San Francisco,CA,West,PROD-9088,Technology,Phones,Phones Model 307,322.84,4,0.0,-42.44,-0.13145830752075333,11,2015,Nov
ORD-100056,2017-04-10 21:45:42,2017-04-18 21:45:42,Customer 894,Consumer,United States,Houston,GA,East,PROD-3783,Technology,Accessories,Accessories Model 64,286.22,8,0.0,11.36,0.03968974914401509,4,2017,Apr
ORD-100057,2015-12-11 13:41:40,2015-12-24 13:41:40,Customer 1027,Consumer,United States,Chicago,TX,West,PROD-3228,Office Supplies,Appliances,Appliances Model 75,231.81,9,0.0,47.49,0.20486605409602693,12,2015,Dec
ORD-100058,2015-10-09 04:42:48,2015-10-20 04:42:48,Customer 1016,Consumer,United States,San Francisco,TX,West,PROD-7332,Office Supplies,Paper,Paper Model 183,285.31,8,0.15,80.31,0.2814832988678981,10,2015,Oct
ORD-100059,2014-05-07 20:10:14,2014-05-16 20:10:14,Customer 64,Consumer,United States,Seattle,NY,East,PROD-2515,Technology,Copiers,Copiers Model 68,189.6,1,0.1,48.18,0.25411392405063293,5,2014,May
ORD-100060,2015-10-22 09:42:41,2015-10-26 09:42:41,Customer 29,Corporate,United States,Houston,WA,West,PROD-8786,Office Supplies,Paper,Paper Model 366,354.35,9,0.1,92.52,0.2610977846761676,10,2015,Oct
ORD-100061,2015-07-20 23:28:03,2015-07-30 23:28:03,Customer 372,Home Office,United States,San Francisco,GA,East,PROD-7396,Office Supplies,Paper,Paper Model 236,427.79,5,0.0,-1.21,-0.0028284906145538695,7,2015,Jul
ORD-100062,2014-08-22 17:24:40,2014-09-03 17:24:40,Customer 97,Consumer,United States,Seattle,TX,South,PROD-8809,Office Supplies,Labels,Labels Model 183,87.59,8,0.0,27.15,0.30996689119762527,8,2014,Aug
ORD-100063,2017-10-30 10:49:31,2017-11-09 10:49:31,Customer 1466,Consumer,United States,Houston,CA,West,PROD-4552,Technology,Accessories,Accessories Model 404,92.26,6,0.0,16.24,0.17602427921092562,10,2017,Oct
ORD-100064,2014-02-09 04:22:37,2014-02-15 04:22:37,Customer 1227,Consumer,United States,Los Angeles,GA,East,PROD-6913,Technology,Accessories,Accessories Model 340,91.45,7,0.05,23.8,0.26025150355385457,2,2014,Feb
ORD-100065,2017-09-11 12:02:57,2017-09-12 12:02:57,Customer 1435,Consumer,United States,Atlanta,CA,South,PROD-4008,Office Supplies,Binders,Binders Model 473,365.93,3,0.0,-55.29,-0.15109447162025524,9,2017,Sep
ORD-100066,2015-06-02 19:22:33,2015-06-06 19:22:33,Customer 993,Consumer,United States,Boston,NY,South,PROD-4670,Technology,Phones,Phones Model 331,302.15,9,0.0,-53.86,-0.17825583319543276,6,2015,Jun
ORD-100067,2017-03-07 10:03:52,2017-03-14 10:03:52,Customer 21,Corporate,United States,Chicago,GA,East,PROD-7285,Office Supplies,Appliances,Appliances Model 311,657.19,9,0.05,21.36,0.03250201615971028,3,2017,Mar
ORD-100068,2016-03-04 16:29:13,2016-03-16 16:29:13,Customer 735,Home Office,United States,San Francisco,WA,Central,PROD-4872,Office Supplies,Binders,Binders Model 70,179.86,2,0.1,40.94,0.22762148337595906,3,2016,Mar
ORD-100069,2014-07-14 23:16:04,2014-07-15 23:16:04,Customer 1126,Consumer,United States,Los Angeles,IL,West,PROD-4458,Office Supplies,Paper,Paper Model 302,246.57,4,0.0,6.09,0.024698868475483634,7,2014,Jul
ORD-100070,2015-08-27 16:08:33,2015-09-04 16:08:33,Customer 1070,Corporate,United States,Dallas,GA,Central,PROD-9088,Office Supplies,Appliances,Appliances Model 239,353.72,4,0.15,93.86,0.26535112518376114,8,2015,Aug
ORD-100071,2017-10-23 01:03:15,2017-11-04 01:03:15,Customer 66,Home Office,United States,Boston,TX,South,PROD-8071,Furniture,Bookcases,Bookcases Model 349,289.05,1,0.0,-20.49,-0.07088738972496107,10,2017,Oct
ORD-100072,2017-01-12 07:40:11,2017-01-22 07:40:11,Customer 603,Consumer,United States,New York,TX,East,PROD-6007,Technology,Phones,Phones Model 352,224.39,4,0.0,-40.02,-0.17835019385890638,1,2017,Jan
ORD-100073,2014-05-12 20:32:46,2014-05-24 20:32:46,Customer 1188,Corporate,United States,Chicago,NY,East,PROD-5690,Furniture,Chairs,Chairs Model 55,182.52,3,0.1,34.92,0.1913214990138067,5,2014,May
ORD-100074,2017-09-04 20:23:23,2017-09-15 20:23:23,Customer 1135,Corporate,United States,Dallas,MA,West,PROD-4472,Furniture,Bookcases,Bookcases Model 358,76.58,2,0.0,11.06,0.1444241316270567,9,2017,Sep
ORD-100075,2017-11-07 05:10:30,2017-11-13 05:10:30,Customer 338,Consumer,United States,Atlanta,MA,East,PROD-5561,Office Supplies,Storage,Storage Model 149,559.54,6,0.15,16.03,0.028648532723308435,11,2017,Nov
ORD-100076,2016-03-18 15:00:59,2016-03-23 15:00:59,Customer 123,Consumer,United States,San Francisco,WA,East,PROD-3358,Furniture,Tables,Tables Model 62,155.02,3,0.0,41.06,0.26486904915494774,3,2016,Mar
ORD-100077,2017-08-06 16:31:56,2017-08-16 16:31:56,Customer 447,Corporate,United States,Los Angeles,CA,Central,PROD-9250,Office Supplies,Paper,Paper Model 90,163.39,9,0.15,33.89,0.20741783462880228,8,2017,Aug
ORD-100078,2016-10-25 17:59:35,2016-11-05 17:59:35,Customer 611,Corporate,United States,Houston,CA,West,PROD-8605,Office Supplies,Binders,Binders Model 60,106.86,9,0.0,-2.3,-0.021523488676773346,10,2016,Oct
ORD-100079,2014-06-06 00:24:14,2014-06-20 00:24:14,Customer 1315,Consumer,United States,New York,IL,East,PROD-1577,Technology,Accessories,Accessories Model 371,447.26,8,0.05,114.18,0.25528775209050664,6,2014,Jun
ORD-100080,2016-04-30 18:34:10,2016-05-09 18:34:10,Customer 671,Consumer,United States,Chicago,CA,East,PROD-9262,Technology,Machines,Machines Model 44,141.73,8,0.2,-11.44,-0.08071685599379101,4,2016,Apr
ORD-100081,2014-06-02 15:07:57,2014-06-04 15:07:57,Customer 1436,Consumer,United States,Atlanta,MA,West,PROD-4640,Technology,Machines,Machines Model 292,185.63,2,0.0,26.37,0.1420567796153639,6,2014,Jun
ORD-100082,2016-03-09 09:03:12,2016-03-14 09:03:12,Customer 615,Home Office,United States,Atlanta,MA,West,PROD-2912,Furniture,Bookcases,Bookcases Model 171,40.73,6,0.0,-3.83,-0.0940338816597103,3,2016,Mar
ORD-100083,2015-03-13 10:55:31,2015-03-19 10:55:31,Customer 897,Consumer,United States,Dallas,TX,West,PROD-3365,Technology,Machines,Machines Model 371,64.35,4,0.0,-3.52,-0.05470085470085471,3,2015,Mar
ORD-100084,2017-07-15 18:36:33,2017-07-22 18:36:33,Customer 281,Corporate,United States,Dallas,IL,Central,PROD-1266,Office Supplies,Storage,Storage Model 333,428.52,2,0.1,14.85,0.034654158499019885,7,2017,Jul
ORD-100085,2014-11-08 19:07:19,2014-11-13 19:07:19,Customer 1067,Consumer,United States,Boston,WA,East,PROD-3326,Office Supplies,Binders,Binders Model 242,464.35,2,0.0,-12.52,-0.026962420587918593,11,2014,Nov
ORD-100086,2014-09-24 12:24:35,2014-10-03 12:24:35,Customer 596,Consumer,United States,Los Angeles,IL,Central,PROD-3034,Office Supplies,Binders,Binders Model 222,1580.92,7,0.0,-203.89,-0.12896920780305138,9,2014,Sep
ORD-100087,2016-07-28 19:35:25,2016-07-29 19:35:25,Customer 703,Consumer,United States,Chicago,GA,West,PROD-8453,Office Supplies,Paper,Paper Model 473,254.91,1,0.1,11.64,0.04566317523831941,7,2016,Jul
ORD-100088,2016-09-24 14:04:53,2016-10-01 14:04:53,Customer 1075,Consumer,United States,Houston,WA,South,PROD-7463,Technology,Machines,Machines Model 321,124.59,8,0.1,5.12,0.04109479091419857,9,2016,Sep
ORD-100089,2016-10-13 03:51:17,2016-10-23 03:51:17,Customer 210,Consumer,United States,Houston,MA,Central,PROD-2023,Office Supplies,Appliances,Appliances Model 142,183.22,5,0.0,-20.65,-0.11270603645890186,10,2016,Oct
ORD-100090,2016-02-08 12:49:45,2016-02-15 12:49:45,Customer 126,Consumer,United States,San Francisco,CA,East,PROD-7970,Office Supplies,Paper,Paper Model 280,143.25,8,0.1,-19.92,-0.13905759162303666,2,2016,Feb
ORD-100091,2014-09-16 12:13:55,2014-09-20 12:13:55,Customer 492,Consumer,United States,San Francisco,NY,West,PROD-8981,Office Supplies,Binders,Binders Model 28,384.8,2,0.0,-70.75,-0.18386174636174635,9,2014,Sep
ORD-100092,2017-11-22 22:27:01,2017-12-01 22:27:01,Customer 960,Consumer,United States,Chicago,IL,West,PROD-4942,Technology,Accessories,Accessories Model 272,974.39,1,0.05,-181.11,-0.18587013413520256,11,2017,Nov
ORD-100093,2014-01-04 03:30:36,2014-01-18 03:30:36,Customer 970,Consumer,United States,Dallas,IL,South,PROD-1189,Technology,Machines,Machines Model 34,138.72,2,0.0,-0.38,-0.0027393310265282586,1,2014,Jan
ORD-100094,2014-02-11 11:45:02,2014-02-23 11:45:02,Customer 581,Consumer,United States,New York,TX,West,PROD-5014,Office Supplies,Appliances,Appliances Model 463,174.61,6,0.0,-20.84,-0.11935169806998452,2,2014,Feb
ORD-100095,2017-06-03 08:37:45,2017-06-14 08:37:45,Customer 777,Corporate,United States,San Francisco,TX,West,PROD-1768,Technology,Copiers,Copiers Model 53,283.13,4,0.1,81.5,0.28785363613887616,6,2017,Jun
ORD-100096,2015-09-02 03:44:43,2015-09-07 03:44:43,Customer 258,Corporate,United States,New York,MA,West,PROD-6166,Technology,Machines,Machines Model 499,581.15,8,0.0,-52.49,-0.0903209154263099,9,2015,Sep
ORD-100097,2014-04-10 08:49:37,2014-04-14 08:49:37,Customer 1212,Home Office,United States,San Francisco,WA,Central,PROD-1464,Office Supplies,Storage,Storage Model 41,385.7,9,0.0,-63.15,-0.16372828623282343,4,2014,Apr
ORD-100098,2016-09-28 16:09:45,2016-10-11 16:09:45,Customer 230,Consumer,United States,Houston,NY,West,PROD-7126,Office Supplies,Labels,Labels Model 496,1028.19,9,0.05,20.42,0.019860142580651437,9,2016,Sep
ORD-100099,2016-09-12 14:57:01,2016-09-19 14:57:01,Customer 189,Consumer,United States,Atlanta,GA,West,PROD-1065,Office Supplies,Labels,Labels Model 43,338.65,5,0.0,-31.88,-0.0941384910674738,9,2016,Sep
ORD-100100,2016-10-11 12:43:15,2016-10-15 12:43:15,Customer 1439,Consumer,United States,San Francisco,TX,East,PROD-2904,Furniture,Chairs,Chairs Model 26,370.94,6,0.0,-61.59,-0.1660376341187254,10,2016,Oct
ORD-100101,2014-07-26 07:06:53,2014-07-29 07:06:53,Customer 10,Consumer,United States,Atlanta,TX,East,PROD-5571,Technology,Copiers,Copiers Model 61,200.35,7,0.1,37.87,0.18901921637135013,7,2014,Jul
ORD-100102,2015-02-28 15:08:14,2015-03-09 15:08:14,Customer 1138,Corporate,United States,New York,CA,East,PROD-7973,Office Supplies,Labels,Labels Model 225,947.48,4,0.05,98.32,0.10377000042217249,2,2015,Feb
ORD-100103,2016-02-16 16:26:23,2016-02-27 16:26:23,Customer 1100,Consumer,United States,Chicago,CA,East,PROD-8565,Office Supplies,Paper,Paper Model 182,359.25,3,0.1,-65.59,-0.1825748086290884,2,2016,Feb
ORD-100104,2015-11-29 23:17:34,2015-12-07 23:17:34,Customer 676,Consumer,United States,Atlanta,MA,Central,PROD-3747,Technology,Phones,Phones Model 393,344.59,2,0.0,19.78,0.05740154966772107,11,2015,Nov
ORD-100105,2017-07-16 02:15:35,2017-07-17 02:15:35,Customer 502,Consumer,United States,Houston,MA,Central,PROD-4842,Furniture,Furnishings,Furnishings Model 98,308.51,4,0.0,-55.11,-0.1786327833781725,7,2017,Jul
ORD-100106,2015-01-30 21:31:57,2015-02-06 21:31:57,Customer 85,Home Office,United States,Los Angeles,TX,Central,PROD-4898,Office Supplies,Binders,Binders Model 329,58.05,9,0.0,-0.3,-0.00516795865633075,1,2015,Jan
ORD-100107,2015-02-26 16:27:02,2015-03-07 16:27:02,Customer 49,Home Office,United States,Houston,WA,West,PROD-6883,Furniture,Bookcases,Bookcases Model 208,188.78,5,0.0,-0.04,-0.0002118868524208073,2,2015,Feb
ORD-100108,2016-11-01 16:14:51,2016-11-09 16:14:51,Customer 838,Consumer,United States,New York,GA,Central,PROD-7842,Furniture,Tables,Tables Model 325,51.94,1,0.0,13.12,0.25259915286869467,11,2016,Nov
ORD-100109,2015-11-26 19:33:12,2015-12-04 19:33:12,Customer 1008,Consumer,United States,Atlanta,NY,West,PROD-5558,Office Supplies,Storage,Storage Model 348,1792.91,5,0.0,366.48,0.20440512909181163,11,2015,Nov
ORD-100110,2017-03-22 17:49:49,2017-04-04 17:49:49,Customer 689,Corporate,United States,Atlanta,TX,West,PROD-8720,Technology,Copiers,Copiers Model 125,527.78,6,0.15,147.31,0.27911250899996215,3,2017,Mar
ORD-100111,2015-09-30 19:10:31,2015-10-06 19:10:31,Customer 387,Home Office,United States,Chicago,WA,South,PROD-6312,Office Supplies,Binders,Binders Model 115,589.19,6,0.1,-77.3,-0.1311970671599993,9,2015,Sep
ORD-100112,2014-02-08 23:10:12,2014-02-19 23:10:12,Customer 970,Consumer,United States,Atlanta,WA,Central,PROD-8549,Technology,Copiers,Copiers Model 306,425.42,5,0.0,39.81,0.09357811104320436,2,2014,Feb
ORD-100113,2015-11-11 21:38:23,2015-11-15 21:38:23,Customer 1413,Consumer,United States,San Francisco,TX,East,PROD-5319,Furniture,Chairs,Chairs Model 330,197.46,8,0.0,-37.3,-0.18889901752253618,11,2015,Nov
ORD-100114,2017-11-21 05:28:12,2017-11-29 05:28:12,Customer 1006,Home Office,United States,Seattle,WA,South,PROD-4977,Office Supplies,Binders,Binders Model 333,216.08,5,0.0,54.89,0.2540262865605331,11,2017,Nov
ORD-100115,2016-11-27 06:23:13,2016-11-30 06:23:13,Customer 218,Corporate,United States,Chicago,IL,South,PROD-7784,Technology,Machines,Machines Model 99,128.75,3,0.0,0.21,0.0016310679611650485,11,2016,Nov
ORD-100116,2015-02-24 15:51:10,2015-03-09 15:51:10,Customer 1005,Consumer,United States,Seattle,WA,East,PROD-3543,Office Supplies,Labels,Labels Model 247,654.35,3,0.15,-113.43,-0.1733475968518377,2,2015,Feb
ORD-100117,2016-03-18 04:06:12,2016-03-27 04:06:12,Customer 1370,Consumer,United States,New York,TX,East,PROD-1768,Technology,Accessories,Accessories Model 340,32.08,4,0.0,-0.69,-0.021508728179551122,3,2016,Mar
ORD-100118,2017-04-20 12:46:15,2017-05-03 12:46:15,Customer 1254,Home Office,United States,Dallas,WA,Central,PROD-3603,Technology,Computers,Computers Model 480,461.25,8,0.1,-24.46,-0.05302981029810298,4,2017,Apr
